,synchronicity_centrality,synchronicity_density,synchronicity_group_size,synchronicity_score,metronome_centrality,metronome_density,metronome_group_size,metronome_score,shares_centrality,shares_density,shares_group_size,shares_score,misinfo_centrality,misinfo_density,misinfo_group_size,misinfo_score,viral_centrality,viral_density,viral_group_size,viral_score,content_uniqueness_centrality,content_uniqueness_density,content_uniqueness_group_size,content_uniqueness_score,network_diversity_centrality,network_diversity_density,network_diversity_group_size,network_diversity_score,content_originality_centrality,content_originality_density,content_originality_group_size,content_originality_score,Archetype_ID
9480f5a345db5f1a875399251f6af0fe,0.0,0.0,0,0.0,0.01062573789846517,0.3241106719367589,23,0.7265603575383358,0.058823529411764705,0.1025042163525922,662,3.426673888021373,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0175054704595186,1.0,9,0.027974504249291786,0.08123249299719888,0.05073736366148241,654,0.2222222222222222,0.0,0.0,0,0.0,2
ebcd5b9f17dd6c3760e97e302c4567ce,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.07983193277310924,0.1025042163525922,662,2.0530784434834195,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.01312910284463895,1.0,7,0.034482758620689655,0.07142857142857142,0.05073736366148241,654,0.2077922077922078,0.0,0.0,0,0.0,2
0e73d4c78c9a94d2d45341b36820cb1a,0.07352941176470588,1.0,21,4.1588830833596715,0.0448642266824085,0.14762471975185912,819,1.885090744151262,0.12324929971988796,0.1025042163525922,662,2.738780558484369,0.07084468664850135,0.11752508361204013,300,1.724275869600789,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.046218487394957986,0.05073736366148241,654,0.13901345291479822,0.0,0.0,0,0.0,1
90beb898bf7905d7c3daf42264ab5fa7,0.0,0.0,0,0.0,0.19716646989374262,0.14762471975185912,819,1.2366448096671883,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0
6e0825ac716b4467010b002293f7d04f,0.0,0.0,0,0.0,0.20425029515938606,0.14762471975185912,819,1.2755127268951534,0.012605042016806723,0.1025042163525922,662,1.2041199826559248,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.023809523809523808,0.05073736366148241,654,0.6,0.0,0.0,0,0.0,2
abe534d581ec6d552243d6955d3c3cd8,0.0,0.0,0,0.0,0.0,0.0,1,6.963862734349651,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0350109409190372,1.0,17,1.3007544636039797e-07,0.0196078431372549,0.05073736366148241,654,0.7857142857142857,0.014184397163120567,1.0,3,0.001551780463900686,3
c960d9b16ee1861cc1757bc39d951480,0.34191176470588236,1.0,94,0.6931471805599453,0.0,0.0,0,0.0,0.13445378151260504,0.1025042163525922,662,2.662757831681574,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0262582056892779,1.0,13,0.0042643923240938165,0.05042016806722689,0.05073736366148241,654,0.16216216216216217,0.0,0.0,0,0.0,4
8189bd4ae8b20c84a2d4f9c08008a66d,0.0,0.0,0,0.0,0.18417945690672963,0.14762471975185912,819,1.2295345795447254,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0
cb6380462a64549e2a46f8099ae1dd53,0.0,0.0,0,0.0,0.10979929161747343,0.14762471975185912,819,1.1214831400994416,0.11624649859943978,0.1025042163525922,662,2.2041199826559246,0.17438692098092642,0.11752508361204013,300,1.9444826721501687,0.0,0.0,0,0.0,0.002188183807439825,1.0,2,0.09142857142857143,0.05322128851540616,0.05073736366148241,654,0.1619047619047619,0.0,0.0,0,0.0,1
156bb70b674747e6b279c75dd8daa169,0.01838235294117647,1.0,6,9.656627474604601,0.047225501770956316,0.14762471975185912,819,1.7960862098274806,0.0938375350140056,0.1025042163525922,662,2.0969100130080562,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.015317286652078774,1.0,8,0.05925925925925926,0.036414565826330535,0.05073736366148241,654,0.3333333333333333,0.0,0.0,0,0.0,2
ad64ff36dffc41f8b676bfbd4cc1cf89,0.0,0.0,0,0.0,0.2514757969303424,0.14762471975185912,819,1.4389912021741766,0.028011204481792718,1.0,21,0.3010299956639812,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.07282913165266107,1.0,53,1.0,0.0,0.0,0,0.0,0
0049ead7ba0fe5920ee42c7ac245e073,0.34191176470588236,1.0,94,0.6931471805599453,0.01062573789846517,0.14762471975185912,819,2.645921433802803,0.12464985994397759,0.1025042163525922,662,2.972665592266111,0.06811989100817438,0.11752508361204013,300,1.7481880270062005,0.0,0.0,0,0.0,0.01312910284463895,1.0,7,0.04753199268738574,0.07563025210084033,0.05073736366148241,654,0.2214765100671141,0.0,0.0,0,0.0,4
f1d72a4e575e6da4d2b5ad9a6393788d,0.0,0.0,0,0.0,0.20425029515938606,0.14762471975185912,819,1.2575099838894246,0.05322128851540616,0.1025042163525922,662,1.9344984512435677,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0700280112044818,0.05073736366148241,654,0.2,0.0,0.0,0,0.0,2
2c8a9b9fd1f208a34b9b53d20b74073d,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.046218487394957986,0.1025042163525922,662,1.8325089127062364,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.010940919037199124,1.0,6,0.056338028169014086,0.022408963585434174,0.05073736366148241,654,0.5142857142857142,0.0,0.0,0,0.0,2
f16436e20059d4fa4e5a4e3fcf332d90,0.34191176470588236,1.0,94,0.6931471805599453,0.0909090909090909,0.14762471975185912,819,1.5703777226813171,0.12184873949579832,0.1025042163525922,662,2.8721562727482928,0.11716621253405994,0.11752508361204013,300,2.0827853703164503,0.0,0.0,0,0.0,0.006564551422319475,1.0,4,0.038314176245210725,0.046218487394957986,0.05073736366148241,654,0.13454545454545455,0.0,0.0,0,0.0,4
da12603c779a4d2d437b76143d63c00a,0.0,0.0,0,0.0,0.0885478158205431,0.14762471975185912,819,1.6063377357766055,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0
0193f8e2b8c3d43b687590f4edb87708,0.0,0.0,0,0.0,0.19126328217237307,0.14762471975185912,819,1.234530470303197,0.15826330532212884,0.1025042163525922,662,2.611723308007342,0.0326975476839237,1.0,13,0.8450980400142568,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.05042016806722689,0.05073736366148241,654,0.1506276150627615,0.0,0.0,0,0.0,2
cf061f911f3df59fca0b3f084abe88cc,0.04044117647058824,1.0,12,5.493061443340549,0.05667060212514757,0.14762471975185912,819,1.7428249744557014,0.10084033613445378,0.1025042163525922,662,3.150756439860309,0.06811989100817438,0.11752508361204013,300,2.496929648073215,0.0,0.0,0,0.0,0.010940919037199124,1.0,6,0.028715475668566418,0.025210084033613446,0.05073736366148241,654,0.11148648648648649,0.02127659574468085,1.0,4,0.44256756756756754,3
1d18ebda5aae4eb12b076826cf5253d4,0.003676470588235294,1.0,2,17.703817036775103,0.14403778040141677,0.14762471975185912,819,1.2093416783202122,0.11484593837535013,0.1025042163525922,662,2.8976270912904414,0.027247956403269755,0.11752508361204013,300,1.0413926851582251,0.0,0.0,0,0.0,0.0,0.0,1,0.031137724550898204,0.07563025210084033,0.05073736366148241,654,0.21379310344827587,0.0,0.0,0,0.0,1
c2c0b599844ce48aaa5b87125246cd0b,0.0,0.0,0,0.0,0.20188902007083825,0.14762471975185912,819,1.2472858010093006,0.008403361344537815,0.1025042163525922,662,1.146128035678238,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.03081232492997199,0.05073736366148241,654,0.5714285714285714,0.0,0.0,0,0.0,2
